[2020/08/28 10:22:25] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'Shuffle', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18/', 'seed': 42}
[2020/08/28 10:22:28] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/08/28 10:53:18] - 181 	 10.2 	 	 0.0380 	 0.1175 	 0.9601
[2020/08/28 10:53:28] - 182 	 10.2 	 	 0.0360 	 0.1096 	 0.9627
[2020/08/28 10:53:38] - 183 	 10.2 	 	 0.0340 	 0.1060 	 0.9640
[2020/08/28 10:53:48] - 184 	 10.2 	 	 0.0320 	 0.0993 	 0.9656
[2020/08/28 10:53:59] - 185 	 10.2 	 	 0.0300 	 0.0980 	 0.9657
[2020/08/28 10:54:09] - 186 	 10.2 	 	 0.0280 	 0.0864 	 0.9703
[2020/08/28 10:54:19] - 187 	 10.1 	 	 0.0260 	 0.0814 	 0.9719
[2020/08/28 10:54:29] - 188 	 10.2 	 	 0.0240 	 0.0749 	 0.9748
[2020/08/28 10:54:39] - 189 	 10.2 	 	 0.0220 	 0.0648 	 0.9784
[2020/08/28 10:54:50] - 190 	 10.2 	 	 0.0200 	 0.0551 	 0.9816
[2020/08/28 10:55:00] - 191 	 10.2 	 	 0.0180 	 0.0535 	 0.9823
[2020/08/28 10:55:10] - 192 	 10.2 	 	 0.0160 	 0.0403 	 0.9868
[2020/08/28 10:55:20] - 193 	 10.2 	 	 0.0140 	 0.0360 	 0.9883
[2020/08/28 10:55:30] - 194 	 10.2 	 	 0.0120 	 0.0279 	 0.9912
[2020/08/28 10:55:40] - 195 	 10.2 	 	 0.0100 	 0.0216 	 0.9935
[2020/08/28 10:55:51] - 196 	 10.2 	 	 0.0080 	 0.0140 	 0.9963
[2020/08/28 10:56:01] - 197 	 10.2 	 	 0.0060 	 0.0098 	 0.9975
[2020/08/28 10:56:11] - 198 	 10.2 	 	 0.0040 	 0.0061 	 0.9988
[2020/08/28 10:56:21] - 199 	 10.2 	 	 0.0020 	 0.0050 	 0.9991
[2020/08/28 10:56:31] - 200 	 10.2 	 	 0.0000 	 0.0044 	 0.9992
[2020/08/28 10:56:32] - == Test loss: 0.1733, Test acc: 0.9543
[2020/08/28 10:56:34] - == Training Finished. best_test_acc: 0.9543 ==
[2020/08/28 10:56:34] - == Total training time: 34.0945 minutes ==
