[2020/09/02 16:31:41] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_2', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 2, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_2', 'seed': 42}
[2020/09/02 16:31:44] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/02 16:47:40] - 91 	 10.5 	 	 0.1820 	 0.3073 	 0.8962
[2020/09/02 16:47:51] - 92 	 10.5 	 	 0.1840 	 0.3059 	 0.8954
[2020/09/02 16:48:01] - 93 	 10.4 	 	 0.1860 	 0.3104 	 0.8949
[2020/09/02 16:48:12] - 94 	 10.4 	 	 0.1880 	 0.3093 	 0.8946
[2020/09/02 16:48:22] - 95 	 10.4 	 	 0.1900 	 0.3078 	 0.8960
[2020/09/02 16:48:33] - 96 	 10.5 	 	 0.1920 	 0.3117 	 0.8938
[2020/09/02 16:48:43] - 97 	 10.4 	 	 0.1940 	 0.3124 	 0.8934
[2020/09/02 16:48:54] - 98 	 10.4 	 	 0.1960 	 0.3132 	 0.8935
[2020/09/02 16:49:04] - 99 	 10.5 	 	 0.1980 	 0.3100 	 0.8939
[2020/09/02 16:49:15] - 100 	 10.5 	 	 0.2000 	 0.3114 	 0.8949
[2020/09/02 16:49:15] - == Test loss: 0.4862, Test acc: 0.8392
[2020/09/02 16:49:31] - 101 	 10.5 	 	 0.1980 	 0.3107 	 0.8947
[2020/09/02 16:49:42] - 102 	 10.4 	 	 0.1960 	 0.3110 	 0.8930
[2020/09/02 16:49:52] - 103 	 10.4 	 	 0.1940 	 0.3085 	 0.8947
[2020/09/02 16:50:02] - 104 	 10.4 	 	 0.1920 	 0.3129 	 0.8919
[2020/09/02 16:50:13] - 105 	 10.3 	 	 0.1900 	 0.3077 	 0.8956
[2020/09/02 16:50:24] - 106 	 11.0 	 	 0.1880 	 0.3046 	 0.8965
[2020/09/02 16:50:35] - 107 	 11.0 	 	 0.1860 	 0.3043 	 0.8964
[2020/09/02 16:50:46] - 108 	 11.6 	 	 0.1840 	 0.3054 	 0.8964
[2020/09/02 16:53:22] - 109 	 10.3 	 	 0.1820 	 0.3068 	 0.8960
[2020/09/02 16:53:32] - 110 	 10.3 	 	 0.1800 	 0.3045 	 0.8958
[2020/09/02 16:53:42] - 111 	 10.3 	 	 0.1780 	 0.2968 	 0.8989
[2020/09/02 16:53:53] - 112 	 10.3 	 	 0.1760 	 0.2983 	 0.8988
[2020/09/02 16:54:03] - 113 	 10.3 	 	 0.1740 	 0.2973 	 0.8979
[2020/09/02 16:54:13] - 114 	 10.3 	 	 0.1720 	 0.3007 	 0.8971
[2020/09/02 16:54:24] - 115 	 10.6 	 	 0.1700 	 0.2985 	 0.9000
[2020/09/02 16:54:34] - 116 	 10.5 	 	 0.1680 	 0.2931 	 0.9001
[2020/09/02 16:54:45] - 117 	 10.3 	 	 0.1660 	 0.2875 	 0.9022
[2020/09/02 16:54:55] - 118 	 10.3 	 	 0.1640 	 0.2894 	 0.9011
[2020/09/02 16:55:05] - 119 	 10.5 	 	 0.1620 	 0.2904 	 0.9021
[2020/09/02 16:55:16] - 120 	 10.3 	 	 0.1600 	 0.2840 	 0.9046
[2020/09/02 16:55:26] - 121 	 10.6 	 	 0.1580 	 0.2887 	 0.9020
[2020/09/02 16:55:37] - 122 	 10.4 	 	 0.1560 	 0.2822 	 0.9055
[2020/09/02 16:55:47] - 123 	 10.3 	 	 0.1540 	 0.2864 	 0.9026
[2020/09/02 16:55:57] - 124 	 10.4 	 	 0.1520 	 0.2870 	 0.9026
[2020/09/02 16:56:08] - 125 	 10.4 	 	 0.1500 	 0.2822 	 0.9032
[2020/09/02 16:56:18] - 126 	 10.4 	 	 0.1480 	 0.2836 	 0.9046
[2020/09/02 16:56:29] - 127 	 10.4 	 	 0.1460 	 0.2773 	 0.9055
[2020/09/02 16:56:39] - 128 	 10.4 	 	 0.1440 	 0.2799 	 0.9048
[2020/09/02 16:56:49] - 129 	 10.4 	 	 0.1420 	 0.2731 	 0.9076
[2020/09/02 16:57:00] - 130 	 10.4 	 	 0.1400 	 0.2732 	 0.9073
[2020/09/02 16:57:10] - 131 	 10.4 	 	 0.1380 	 0.2666 	 0.9084
[2020/09/02 16:57:20] - 132 	 10.3 	 	 0.1360 	 0.2681 	 0.9089
[2020/09/02 16:57:31] - 133 	 10.7 	 	 0.1340 	 0.2659 	 0.9091
[2020/09/02 16:57:42] - 134 	 10.4 	 	 0.1320 	 0.2631 	 0.9119
[2020/09/02 16:57:52] - 135 	 10.4 	 	 0.1300 	 0.2618 	 0.9112
[2020/09/02 16:58:02] - 136 	 10.4 	 	 0.1280 	 0.2630 	 0.9099
[2020/09/02 16:58:13] - 137 	 10.4 	 	 0.1260 	 0.2622 	 0.9115
[2020/09/02 16:58:23] - 138 	 10.4 	 	 0.1240 	 0.2607 	 0.9119
[2020/09/02 16:58:34] - 139 	 10.6 	 	 0.1220 	 0.2566 	 0.9127
[2020/09/02 16:58:44] - 140 	 10.5 	 	 0.1200 	 0.2565 	 0.9129
[2020/09/02 16:58:55] - 141 	 10.4 	 	 0.1180 	 0.2549 	 0.9128
[2020/09/02 16:59:05] - 142 	 10.4 	 	 0.1160 	 0.2495 	 0.9139
[2020/09/02 16:59:16] - 143 	 10.5 	 	 0.1140 	 0.2456 	 0.9166
[2020/09/02 16:59:26] - 144 	 10.4 	 	 0.1120 	 0.2444 	 0.9166
[2020/09/02 16:59:37] - 145 	 10.5 	 	 0.1100 	 0.2436 	 0.9173
[2020/09/02 16:59:47] - 146 	 10.4 	 	 0.1080 	 0.2367 	 0.9198
[2020/09/02 16:59:57] - 147 	 10.3 	 	 0.1060 	 0.2458 	 0.9172
[2020/09/02 17:00:08] - 148 	 10.4 	 	 0.1040 	 0.2365 	 0.9196
[2020/09/02 17:00:18] - 149 	 10.4 	 	 0.1020 	 0.2301 	 0.9233
[2020/09/02 17:00:28] - 150 	 10.3 	 	 0.1000 	 0.2350 	 0.9211
[2020/09/02 17:00:39] - 151 	 10.4 	 	 0.0980 	 0.2313 	 0.9215
[2020/09/02 17:00:49] - 152 	 10.5 	 	 0.0960 	 0.2323 	 0.9210
[2020/09/02 17:01:00] - 153 	 10.4 	 	 0.0940 	 0.2259 	 0.9219
[2020/09/02 17:01:10] - 154 	 10.4 	 	 0.0920 	 0.2199 	 0.9262
[2020/09/02 17:01:20] - 155 	 10.4 	 	 0.0900 	 0.2309 	 0.9219
[2020/09/02 17:01:31] - 156 	 10.4 	 	 0.0880 	 0.2128 	 0.9276
[2020/09/02 17:01:41] - 157 	 10.6 	 	 0.0860 	 0.2137 	 0.9276
[2020/09/02 17:01:52] - 158 	 10.3 	 	 0.0840 	 0.2173 	 0.9255
[2020/09/02 17:02:02] - 159 	 10.3 	 	 0.0820 	 0.2101 	 0.9283
[2020/09/02 17:02:13] - 160 	 10.5 	 	 0.0800 	 0.2049 	 0.9311
[2020/09/02 17:02:23] - 161 	 10.4 	 	 0.0780 	 0.2017 	 0.9309
[2020/09/02 17:02:34] - 162 	 10.4 	 	 0.0760 	 0.2004 	 0.9321
[2020/09/02 17:02:44] - 163 	 10.4 	 	 0.0740 	 0.1977 	 0.9325
[2020/09/02 17:02:54] - 164 	 10.4 	 	 0.0720 	 0.1958 	 0.9337
[2020/09/02 17:03:05] - 165 	 10.4 	 	 0.0700 	 0.1901 	 0.9357
[2020/09/02 17:03:15] - 166 	 10.4 	 	 0.0680 	 0.1859 	 0.9366
[2020/09/02 17:03:26] - 167 	 10.4 	 	 0.0660 	 0.1876 	 0.9364
[2020/09/02 17:03:36] - 168 	 10.4 	 	 0.0640 	 0.1764 	 0.9397
[2020/09/02 17:03:47] - 169 	 10.4 	 	 0.0620 	 0.1778 	 0.9394
[2020/09/02 17:03:57] - 170 	 10.4 	 	 0.0600 	 0.1739 	 0.9419
[2020/09/02 17:04:07] - 171 	 10.4 	 	 0.0580 	 0.1710 	 0.9418
[2020/09/02 17:04:18] - 172 	 10.4 	 	 0.0560 	 0.1652 	 0.9433
[2020/09/02 17:04:28] - 173 	 10.4 	 	 0.0540 	 0.1629 	 0.9455
[2020/09/02 17:04:38] - 174 	 10.4 	 	 0.0520 	 0.1538 	 0.9473
[2020/09/02 17:04:49] - 175 	 10.5 	 	 0.0500 	 0.1524 	 0.9477
[2020/09/02 17:04:59] - 176 	 10.4 	 	 0.0480 	 0.1496 	 0.9491
[2020/09/02 17:05:10] - 177 	 10.5 	 	 0.0460 	 0.1427 	 0.9511
[2020/09/02 17:05:20] - 178 	 10.4 	 	 0.0440 	 0.1358 	 0.9543
[2020/09/02 17:05:31] - 179 	 10.4 	 	 0.0420 	 0.1323 	 0.9551
[2020/09/02 17:05:41] - 180 	 10.4 	 	 0.0400 	 0.1305 	 0.9554
[2020/09/02 17:05:51] - 181 	 10.5 	 	 0.0380 	 0.1233 	 0.9583
[2020/09/02 17:06:02] - 182 	 10.4 	 	 0.0360 	 0.1125 	 0.9617
[2020/09/02 17:06:12] - 183 	 10.5 	 	 0.0340 	 0.1093 	 0.9627
[2020/09/02 17:06:23] - 184 	 10.4 	 	 0.0320 	 0.1054 	 0.9653
[2020/09/02 17:06:33] - 185 	 10.4 	 	 0.0300 	 0.0990 	 0.9668
[2020/09/02 17:06:44] - 186 	 10.5 	 	 0.0280 	 0.0897 	 0.9700
[2020/09/02 17:06:54] - 187 	 10.6 	 	 0.0260 	 0.0861 	 0.9709
[2020/09/02 17:07:05] - 188 	 10.4 	 	 0.0240 	 0.0739 	 0.9753
[2020/09/02 17:07:15] - 189 	 10.4 	 	 0.0220 	 0.0705 	 0.9764
[2020/09/02 17:07:26] - 190 	 10.5 	 	 0.0200 	 0.0530 	 0.9828
[2020/09/02 17:07:36] - 191 	 10.4 	 	 0.0180 	 0.0535 	 0.9818
[2020/09/02 17:07:47] - 192 	 10.4 	 	 0.0160 	 0.0435 	 0.9859
[2020/09/02 17:07:57] - 193 	 10.6 	 	 0.0140 	 0.0361 	 0.9884
[2020/09/02 17:08:07] - 194 	 10.4 	 	 0.0120 	 0.0270 	 0.9915
[2020/09/02 17:08:18] - 195 	 10.4 	 	 0.0100 	 0.0186 	 0.9945
[2020/09/02 17:08:28] - 196 	 10.5 	 	 0.0080 	 0.0146 	 0.9956
[2020/09/02 17:08:39] - 197 	 10.3 	 	 0.0060 	 0.0090 	 0.9977
[2020/09/02 17:08:49] - 198 	 10.4 	 	 0.0040 	 0.0076 	 0.9983
[2020/09/02 17:09:00] - 199 	 10.5 	 	 0.0020 	 0.0057 	 0.9988
[2020/09/02 17:09:10] - 200 	 10.4 	 	 0.0000 	 0.0043 	 0.9993
[2020/09/02 17:09:11] - == Test loss: 0.1855, Test acc: 0.9532
[2020/09/02 17:09:14] - == Training Finished. best_test_acc: 0.9532 ==
[2020/09/02 17:09:14] - == Total training time: 37.5040 minutes ==
