[2020/09/15 14:31:27] - {'architecture': 'resnet18', 'data_path': '~/.fastai/data', 'ckpt_path': './', 'ckpt_name': 'resnet18_np_4_0', 'mean': [0.4914, 0.4822, 0.4465], 'std': [0.2471, 0.2435, 0.2616], 'epochs': 200, 'batch_size': 128, 'eval_freq': 100, 'workers': 2, 'lr_max': 0.2, 'lr_min': 0.0, 'momentum': 0.9, 'weight_decay': 0.0005, 'opt_level': 'O1', 'loss_scale': 1.0, 'master_weights': False, 'lr_schedule': 'cyclic', 'defense': 'NP', 'block_size': 4, 'height': 32, 'width': 32, 'password': 'password', 'work_path': 'experiments/resnet18_np_4_0/', 'seed': 0}
[2020/09/15 14:31:30] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc
[2020/09/15 14:58:15] - 144 	 11.1 	 	 0.1120 	 0.3117 	 0.8930
[2020/09/15 14:58:26] - 145 	 11.1 	 	 0.1100 	 0.3075 	 0.8933
[2020/09/15 14:58:37] - 146 	 11.1 	 	 0.1080 	 0.3055 	 0.8954
[2020/09/15 14:58:48] - 147 	 11.1 	 	 0.1060 	 0.2986 	 0.8964
[2020/09/15 14:58:59] - 148 	 11.1 	 	 0.1040 	 0.3008 	 0.8963
[2020/09/15 14:59:10] - 149 	 11.1 	 	 0.1020 	 0.2933 	 0.9007
[2020/09/15 14:59:21] - 150 	 11.1 	 	 0.1000 	 0.2947 	 0.8992
[2020/09/15 14:59:32] - 151 	 11.1 	 	 0.0980 	 0.2896 	 0.9004
[2020/09/15 14:59:43] - 152 	 11.1 	 	 0.0960 	 0.2862 	 0.9023
[2020/09/15 14:59:54] - 153 	 11.1 	 	 0.0940 	 0.2859 	 0.9012
[2020/09/15 15:00:06] - 154 	 11.1 	 	 0.0920 	 0.2843 	 0.9011
[2020/09/15 15:00:17] - 155 	 11.1 	 	 0.0900 	 0.2787 	 0.9043
[2020/09/15 15:00:28] - 156 	 11.1 	 	 0.0880 	 0.2743 	 0.9059
[2020/09/15 15:00:39] - 157 	 11.1 	 	 0.0860 	 0.2733 	 0.9066
[2020/09/15 15:00:50] - 158 	 11.1 	 	 0.0840 	 0.2734 	 0.9058
[2020/09/15 15:01:01] - 159 	 11.1 	 	 0.0820 	 0.2616 	 0.9108
[2020/09/15 15:01:12] - 160 	 11.1 	 	 0.0800 	 0.2623 	 0.9106
[2020/09/15 15:01:23] - 161 	 11.1 	 	 0.0780 	 0.2597 	 0.9098
[2020/09/15 15:01:34] - 162 	 11.1 	 	 0.0760 	 0.2582 	 0.9119
[2020/09/15 15:01:45] - 163 	 11.1 	 	 0.0740 	 0.2498 	 0.9130
[2020/09/15 15:01:56] - 164 	 11.1 	 	 0.0720 	 0.2502 	 0.9141
[2020/09/15 15:02:08] - 165 	 11.3 	 	 0.0700 	 0.2446 	 0.9164
[2020/09/15 15:02:19] - 166 	 11.1 	 	 0.0680 	 0.2388 	 0.9179
[2020/09/15 15:02:30] - 167 	 11.1 	 	 0.0660 	 0.2362 	 0.9182
[2020/09/15 15:02:41] - 168 	 11.1 	 	 0.0640 	 0.2295 	 0.9212
